country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Uttar_Pradesh,Meerut,"Jai Bhim Nagar, Meerut - UPPCB","21-02-2026 10:00:00",28.9535882,77.7622941,OZONE,30,159,44
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","21-02-2026 10:00:00",29.063510,77.709723,NO2,27,69,47
India,Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB","21-02-2026 10:00:00",29.063510,77.709723,SO2,3,94,21
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB","21-02-2026 10:00:00",26.868120,81.005119,NO2,7,10,8
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB","21-02-2026 10:00:00",26.868120,81.005119,SO2,11,14,13
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB","21-02-2026 10:00:00",26.868120,81.005119,CO,32,40,33
India,Uttar_Pradesh,Lucknow,"Gomti Nagar, Lucknow - UPPCB","21-02-2026 10:00:00",26.868120,81.005119,OZONE,29,43,31
India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB","21-02-2026 10:00:00",26.90723,80.98579,PM2.5,11,58,34
India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB","21-02-2026 10:00:00",26.90723,80.98579,NO2,32,33,32
India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB","21-02-2026 10:00:00",26.90723,80.98579,NH3,6,6,6
India,Uttar_Pradesh,Lucknow,"Kukrail Picnic Spot-1, Lucknow - UPPCB","21-02-2026 10:00:00",26.90723,80.98579,CO,8,12,10
India,Uttar_Pradesh,Lucknow,"Lalbagh, Lucknow - CPCB","21-02-2026 10:00:00",26.8458805,80.9365541,NO2,33,44,38
India,Uttar_Pradesh,"Greater Noida","Knowledge Park - III, Greater Noida - UPPCB","21-02-2026 10:00:00",28.47272,77.482000,SO2,4,29,18
India,Uttar_Pradesh,"Greater Noida","Knowledge Park - III, Greater Noida - UPPCB","21-02-2026 10:00:00",28.47272,77.482000,OZONE,4,200,11
India,Uttar_Pradesh,"Greater Noida","Knowledge Park - V, Greater Noida - UPPCB","21-02-2026 10:00:00",28.557054,77.453663,PM10,149,233,176
India,Uttar_Pradesh,"Greater Noida","Knowledge Park - V, Greater Noida - UPPCB","21-02-2026 10:00:00",28.557054,77.453663,NH3,9,15,12
India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB","21-02-2026 10:00:00",25.4547,78.6039,PM2.5,4,260,46
India,Uttar_Pradesh,Jhansi,"Shivaji Nagar, Jhansi - UPPCB","21-02-2026 10:00:00",25.4547,78.6039,PM10,30,105,56
India,Uttar_Pradesh,Kanpur,"FTI Kidwai Nagar, Kanpur - UPPCB","21-02-2026 10:00:00",26.428282,80.327067,PM2.5,30,166,88
India,Uttar_Pradesh,Bulandshahr,"Yamunapuram, Bulandshahr - UPPCB","21-02-2026 10:00:00",28.406963,77.849831,OZONE,1,94,6
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB","21-02-2026 10:00:00",27.168897,78.376960,NO2,17,17,17
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB","21-02-2026 10:00:00",27.168897,78.376960,SO2,NA,NA,NA
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB","21-02-2026 10:00:00",27.168897,78.376960,CO,NA,NA,NA
India,Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB","21-02-2026 10:00:00",27.168897,78.376960,OZONE,NA,NA,NA
India,Uttar_Pradesh,Firozabad,"Vibhab Nagar, Firozabad - UPPCB","21-02-2026 10:00:00",27.1594,78.3953,NO2,15,15,15
India,Uttar_Pradesh,Firozabad,"Vibhab Nagar, Firozabad - UPPCB","21-02-2026 10:00:00",27.1594,78.3953,NH3,1,2,2
India,Uttar_Pradesh,Firozabad,"Vibhab Nagar, Firozabad - UPPCB","21-02-2026 10:00:00",27.1594,78.3953,SO2,7,9,8
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","21-02-2026 10:00:00",28.88528,78.73880,PM2.5,23,125,81
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","21-02-2026 10:00:00",28.88528,78.73880,PM10,57,142,100
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","21-02-2026 10:00:00",28.88528,78.73880,SO2,25,29,25
India,Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB","21-02-2026 10:00:00",28.88528,78.73880,OZONE,16,24,16
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB","21-02-2026 10:00:00",28.856664,78.772638,PM2.5,31,98,62
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB","21-02-2026 10:00:00",28.856664,78.772638,NH3,6,6,6
India,Uttar_Pradesh,Moradabad,"Eco Herbal Park, Moradabad - UPPCB","21-02-2026 10:00:00",28.840739,78.697531,PM10,32,116,82
India,West_Bengal,Kolkata,"Fort William, Kolkata - WBPCB","21-02-2026 10:00:00",22.556640,88.342674,SO2,5,41,15
India,West_Bengal,Kolkata,"Jadavpur, Kolkata - WBPCB","21-02-2026 10:00:00",22.49929,88.36917,CO,23,120,78
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB","21-02-2026 10:00:00",22.627847,88.380669,NO2,40,280,142
India,West_Bengal,Kolkata,"Rabindra Bharati University, Kolkata - WBPCB","21-02-2026 10:00:00",22.627847,88.380669,SO2,5,16,10
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","21-02-2026 10:00:00",22.51106,88.35142,PM2.5,95,303,199
India,West_Bengal,Kolkata,"Rabindra Sarobar, Kolkata - WBPCB","21-02-2026 10:00:00",22.51106,88.35142,NH3,8,45,17
India,West_Bengal,Kolkata,"Victoria, Kolkata - WBPCB","21-02-2026 10:00:00",22.5448082,88.3403691,PM10,84,450,210
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","21-02-2026 10:00:00",26.6879226,88.4152495,PM2.5,47,159,99
India,West_Bengal,Siliguri,"Ward-32 Bapupara, Siliguri - WBPCB","21-02-2026 10:00:00",26.6879226,88.4152495,CO,29,90,59
India,Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB","21-02-2026 10:00:00",28.856664,78.772638,CO,40,40,40
India,Uttar_Pradesh,Moradabad,"Kashiram Nagar, Moradabad - UPPCB","21-02-2026 10:00:00",28.849399,78.742362,SO2,89,123,110
